,id,lat,lon,time
82790,98675,13.24563888888889,68.77772222222221,2010-05-14
82848,3098671,15.377472222222224,64.61711111111111,2010-05-14
82849,3098678,15.19963888888889,68.59930555555555,2010-05-14
82850,3098682,18.458611111111114,69.0986388888889,2010-05-14
83031,81938,8.22188888888889,73.98605555555557,2010-05-23
83032,81996,17.333916666666664,65.91722222222222,2010-05-23
83046,98672,14.431833333333335,64.22483333333334,2010-05-23
83047,98673,18.08077777777778,63.98388888888888,2010-05-23
83048,98674,14.913666666666664,67.33080555555556,2010-05-23
83049,98675,12.015388888888886,68.95319444444445,2010-05-23
83107,3098671,15.66933333333334,65.31049999999999,2010-05-23
83108,3098678,14.234416666666672,68.63458333333332,2010-05-23
83109,3098682,18.028194444444452,69.50113888888887,2010-05-23
83290,81938,7.1868888888888875,74.4658888888889,2010-06-01
83291,81996,18.661777777777775,65.8572777777778,2010-06-01
83305,98672,14.16172222222222,65.2308888888889,2010-06-01
83306,98673,17.55563888888889,63.55197222222221,2010-06-01
83307,98674,14.685805555555557,68.33649999999999,2010-06-01
83308,98675,11.769222222222222,69.68347222222222,2010-06-01
83366,3098671,15.16730555555555,65.82997222222221,2010-06-01
83367,3098678,15.011138888888885,69.66527777777777,2010-06-01
83368,3098682,18.653055555555554,69.6432777777778,2010-06-01
83549,81938,6.929,74.9025,2010-06-10
83550,81996,19.591222222222218,66.27983333333334,2010-06-10
83564,98672,14.207888888888888,66.94516666666667,2010-06-10
83565,98673,17.602277777777783,62.38344444444446,2010-06-10
83566,98674,14.899972222222225,69.5575,2010-06-10
83567,98675,12.441083333333331,69.64575,2010-06-10
83625,3098671,14.887,66.9655,2010-06-10
83626,3098678,14.427444444444445,70.69277777777778,2010-06-10
83627,3098682,18.684055555555556,69.67027777777778,2010-06-10
83740,60492,5.314555555555555,58.69402777777779,2010-06-19
83809,81996,19.802,67.139,2010-06-19
83823,98672,13.622833333333334,68.86969444444445,2010-06-19
83824,98673,18.293972222222223,61.30066666666667,2010-06-19
83825,98674,14.069416666666669,71.44641666666666,2010-06-19
83826,98675,11.462861111111112,70.83763888888889,2010-06-19
